Freq (MHz),re(S11),im(S11),re(Z),im(Z)
28.100,0.64730,0.62341,18.747,121.514
28.150,0.64754,0.62292,18.806,121.602
28.200,0.65101,0.62070,18.825,122.410
28.250,0.65526,0.61850,18.757,123.357
28.300,0.65781,0.61718,18.712,123.930
28.350,0.65725,0.61775,18.674,123.775
28.400,0.65851,0.61623,18.800,124.151
28.450,0.66190,0.61492,18.658,124.871
28.500,0.66582,0.61222,18.693,125.844
28.550,0.66664,0.61147,18.731,126.069
28.600,0.66786,0.61082,18.706,126.355
28.650,0.66842,0.60919,18.927,126.634
28.700,0.67274,0.60778,18.682,127.552
28.750,0.67606,0.60543,18.707,128.409
28.800,0.67665,0.60452,18.798,128.622
28.850,0.67742,0.60346,18.894,128.884
28.900,0.67989,0.60230,18.806,129.462
28.950,0.68235,0.60081,18.774,130.081
29.000,0.68514,0.59934,18.695,130.762
29.050,0.68528,0.59763,18.986,130.999
29.100,0.68706,0.59672,18.928,131.435
29.150,0.69011,0.59534,18.795,132.163
29.200,0.69386,0.59292,18.752,133.158
29.250,0.69406,0.59249,18.805,133.250
29.300,0.69359,0.59100,19.140,133.358
29.350,0.69647,0.58943,19.053,134.096
29.400,0.69929,0.58764,19.010,134.857
29.450,0.70201,0.58599,18.950,135.588
29.500,0.70119,0.58514,19.221,135.550
29.550,0.70223,0.58407,19.281,135.893
29.600,0.70589,0.58258,19.057,136.789
29.650,0.70829,0.58001,19.206,137.604
29.700,0.71059,0.57895,19.081,138.192
29.750,0.71043,0.57853,19.185,138.224
29.800,0.71140,0.57744,19.254,138.565
29.850,0.71453,0.57573,19.129,139.416
29.900,0.71745,0.57285,19.255,140.407
29.950,0.71678,0.57231,19.458,140.358
