Freq (MHz),re(S11),im(S11),re(Z),im(Z)
21.150,0.84893,0.44916,17.270,200.013
21.200,0.84823,0.44853,17.693,200.047
21.250,0.84838,0.44777,17.845,200.358
21.300,0.85020,0.44601,17.671,201.482
21.350,0.85181,0.44416,17.592,202.594
21.400,0.85177,0.44230,18.122,203.263
21.450,0.85099,0.44140,18.657,203.374
21.500,0.85168,0.44028,18.716,203.978
21.550,0.85290,0.43926,18.550,204.701
21.600,0.85550,0.43668,18.301,206.400
21.650,0.85495,0.43622,18.637,206.420
21.700,0.85437,0.43545,19.074,206.547
21.750,0.85575,0.43466,18.777,207.242
21.800,0.85691,0.43228,19.014,208.489
21.850,0.85757,0.43010,19.385,209.529
21.900,0.85593,0.42979,20.116,209.166
21.950,0.85809,0.42874,19.576,210.212
22.000,0.85872,0.42735,19.735,210.946
22.050,0.86010,0.42546,19.745,212.105
22.100,0.85943,0.42272,20.833,213.011
22.150,0.85982,0.42345,20.459,212.832
22.200,0.86117,0.42288,20.081,213.467
22.250,0.86184,0.42041,20.549,214.676
22.300,0.86343,0.41746,20.790,216.385
22.350,0.86312,0.41746,20.919,216.290
22.400,0.86359,0.41618,21.116,216.968
22.450,0.86368,0.41582,21.189,217.152
22.500,0.86414,0.41272,21.964,218.607
22.550,0.86489,0.41146,22.039,219.382
22.600,0.86544,0.41181,21.693,219.403
22.650,0.86657,0.41079,21.522,220.202
22.700,0.86721,0.40827,22.045,221.506
22.750,0.86626,0.40577,23.268,222.298
22.800,0.86798,0.40487,22.798,223.255
22.850,0.86810,0.40557,22.517,222.982
22.900,0.86951,0.40391,22.428,224.181
22.950,0.86983,0.40247,22.750,224.940
23.000,0.86909,0.39956,24.049,226.013
23.050,0.87104,0.39896,23.357,226.942
23.100,0.87056,0.39935,23.444,226.600
23.150,0.87127,0.39789,23.610,227.511
23.200,0.87244,0.39520,23.966,229.162
23.250,0.87178,0.39419,24.623,229.412
23.300,0.87169,0.39314,25.029,229.876
23.350,0.87337,0.39210,24.587,230.946
23.400,0.87467,0.39023,24.608,232.298
23.450,0.87284,0.38913,25.876,232.187
23.500,0.87414,0.38790,25.682,233.242
23.550,0.87482,0.38776,25.397,233.550
23.600,0.87506,0.38632,25.790,234.339
23.650,0.87532,0.38487,26.181,235.151
23.700,0.87527,0.38154,27.408,236.789
23.750,0.87572,0.38203,27.004,236.711
23.800,0.87761,0.38131,26.313,237.761
23.850,0.87841,0.38025,26.296,238.591
23.900,0.87673,0.37771,28.090,239.268
23.950,0.87800,0.37695,27.718,240.133
24.000,0.87892,0.37665,27.354,240.633
24.050,0.88057,0.37595,26.754,241.609
24.100,0.87950,0.37424,27.956,242.108
24.150,0.87823,0.37227,29.374,242.662
24.200,0.87966,0.37114,29.051,243.809
24.250,0.88159,0.37055,28.245,244.867
24.300,0.88145,0.36940,28.764,245.431
24.350,0.88011,0.36712,30.381,246.138
24.400,0.87974,0.36645,30.844,246.355
24.450,0.88205,0.36626,29.663,247.379
24.500,0.88202,0.36516,30.116,247.964
